State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Punjab,Ferozpur,Makhu,Other,Vegetables,0.20,1300,1500,1400,2019-12-21
Punjab,Ferozpur,Zira,Tomato,Vegetables,0.30,1200,1500,1300,2019-12-21
Punjab,Gurdaspur,Dinanagar,Tomato,Vegetables,0.90,1500,1800,1600,2019-12-21
Punjab,Gurdaspur,F.G.Churian,Tomato,Vegetables,0.09,1980,2000,1990,2019-12-21
Punjab,Gurdaspur,Gurdaspur,Other,Vegetables,2.60,1500,2000,1800,2019-12-21
Punjab,Hoshiarpur,Dasuya,Other,Vegetables,1.50,1500,2000,2000,2019-12-21
Punjab,Hoshiarpur,Garh Shankar,Deshi,Vegetables,0.57,1000,1500,1300,2019-12-21
Punjab,Hoshiarpur,Garh Shankar(Mahalpur),Tomato,Vegetables,2.30,1200,1800,1500,2019-12-21
Punjab,Hoshiarpur,Hoshiarpur,Other,Vegetables,12.00,1400,1700,1500,2019-12-21
Punjab,Hoshiarpur,Mukerian(Talwara),Tomato,Vegetables,0.32,1100,1450,1200,2019-12-21
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,1.00,1200,1400,1300,2019-12-21
Punjab,Jalandhar,Adampur,Other,Vegetables,0.90,1300,1500,1500,2019-12-21
Punjab,Jalandhar,Jalandhar City(Jalandhar),Other,Vegetables,56.00,400,800,600,2019-12-21
Punjab,Jalandhar,Lohian Khas,Other,Vegetables,0.20,300,500,400,2019-12-21
Punjab,Ludhiana,Jagraon,Other,Vegetables,2.00,1400,1800,1600,2019-12-21
Punjab,Ludhiana,Sahnewal,Tomato,Vegetables,0.30,1400,1400,1400,2019-12-21
Punjab,Ludhiana,Samrala,Other,Vegetables,1.50,1500,2000,1800,2019-12-21
Punjab,Moga,Baghapurana,Tomato,Vegetables,0.40,1500,1900,1700,2019-12-21
Punjab,Moga,Moga,Other,Vegetables,6.10,1200,1500,1300,2019-12-21
Punjab,Mohali,Banur (Kheragaju),Deshi,Vegetables,0.50,1500,2000,2000,2019-12-21
Punjab,Mohali,Dera Bassi,Other,Vegetables,0.10,1600,1800,1700,2019-12-21
Punjab,Mohali,Kharar,Tomato,Vegetables,0.70,1500,2000,1800,2019-12-21
Punjab,Mohali,Kurali,Other,Vegetables,1.50,2000,2200,2100,2019-12-21
Punjab,Muktsar,Malout,Tomato,Vegetables,1.90,1000,1400,1200,2019-12-21
Punjab,Muktsar,Muktsar,Tomato,Vegetables,2.00,1200,1600,1500,2019-12-21
Punjab,Nawanshahr,Balachaur,Other,Vegetables,0.90,2000,2200,2100,2019-12-21
Punjab,Nawanshahr,Banga,Other,Vegetables,3.10,132,1710,1500,2019-12-21
Punjab,Nawanshahr,Nawan Shahar(Subzi Mandi),Other,Vegetables,0.95,1600,2300,2050,2019-12-21
Punjab,Pathankot,Pathankot,Tomato,Vegetables,17.42,1500,1800,1650,2019-12-21
Punjab,Patiala,Nabha,Other,Vegetables,5.90,1000,1600,1200,2019-12-21
Punjab,Patiala,Patiala,Tomato,Vegetables,38.00,1200,1600,1400,2019-12-21
Punjab,Patiala,Rajpura,Local,Vegetables,4.80,1200,1400,1300,2019-12-21
Punjab,Sangrur,Dhuri,Other,Vegetables,0.20,1200,1300,1250,2019-12-21
Punjab,Sangrur,Khanauri,Other,Vegetables,0.40,1200,1400,1300,2019-12-21
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.50,2500,3000,3000,2019-12-21
Punjab,Sangrur,Malerkotla,Other,Vegetables,5.00,1300,1600,1500,2019-12-21
Punjab,Sangrur,Sangrur,Tomato,Vegetables,2.60,1100,1200,1200,2019-12-21
Punjab,Sangrur,Sunam,Tomato,Vegetables,1.00,1000,2000,1500,2019-12-21
Punjab,Tarntaran,Patti,Other,Vegetables,0.50,1500,1800,1600,2019-12-21
Punjab,Tarntaran,Tarantaran,Other,Vegetables,0.60,1800,3000,2400,2019-12-21
-,-,-,-,Punjab Sub Total,271.04,-,-,-,
-,-,-,-,Total:-,271.04,-,-,-,
Punjab,Barnala,Barnala,Other,Vegetables,5.99,800,1300,1050,2019-12-22
Punjab,Bhatinda,Maur,Other,Vegetables,0.20,1000,1200,1100,2019-12-22
Punjab,Bhatinda,Raman,Other,Vegetables,0.50,1200,1400,1350,2019-12-22
