date,arrivals,min_price,max_price,price_range,modal_price,year,month,day_of_week,lagged_price_7,lagged_price_30,rolling_mean_7,rolling_mean_30,exp_smooth,price_change,log_modal,z_score_7_rolling
2020-01-01,8050.8,400.0,1800.0,295.7142857142857,1042.5485666020768,2020,1,2,1063.341526661797,1035.7448950132257,1058.70784498628,1131.6976703336295,1053.618729232585,-6.862778561154926,6.950382267458241,-0.2520291881136164
2020-01-02,6908.9,400.0,1800.0,302.10526315789474,1040.6743475806568,2020,1,3,1178.8421518777636,1011.0773846749456,1055.7374221206057,1131.9244593865913,1050.851188574958,7.7265522842902,6.948584647152638,-0.23408957417598614
2020-01-03,12432.6,400.0,1800.0,283.84375,1059.7194231295143,2020,1,4,1083.2982720269097,945.794006205512,1035.999164363876,1132.9110248167815,1048.3069783263827,-0.17977282607836154,6.966702657958282,0.685291425662127
2020-01-04,11917.4,200.0,2042.0,285.35,1089.621561750046,2020,1,5,1029.2996644434893,941.4592416100578,1032.6307573785339,1136.708538714248,1051.1600895271656,1.830070626140956,6.9945030528357215,1.8936465922071963
2020-01-05,3636.4,400.0,1800.0,267.4848484848485,1108.8645363546364,2020,1,6,1049.317183548516,1178.5298439511446,1041.2481712794704,1141.6472827189145,1060.7754575828858,2.8217033648610723,7.011993247538829,1.8344529365726707
2020-01-06,13416.0,400.0,2000.0,242.4,1080.128205128205,2020,1,0,1039.0830423026118,1050.7859276468637,1049.754935966059,1139.3251057990312,1072.7977272758235,1.7660236618008973,6.985760409245433,0.6749091138790143
2020-01-07,11886.1,200.0,2000.0,325.578125,1201.8293637105526,2020,1,1,967.7730740428718,1016.8162723855847,1055.6185306554296,1140.3031817150759,1074.630346738919,-2.591509628480071,7.09243186361199,3.175513658649469
2020-01-08,9064.0,400.0,2400.0,291.40845070422534,1150.2088261253311,2020,1,2,1042.5485666020768,1105.1120387903827,1089.0551434650984,1146.4702847592414,1106.4301009818273,11.267288272312292,7.048567822435126,1.099695620832048
2020-01-09,10363.3,300.0,2000.0,290.5,1180.089064294192,2020,1,3,1040.6743475806568,1107.050184797234,1104.435180539849,1147.9735110037395,1117.3747822677033,-4.295163618389807,7.074192227658836,1.3633474325693795
2020-01-10,7355.4,400.0,1900.0,293.6268656716418,1170.313619925497,2020,1,4,1059.7194231295143,1075.3786814362247,1124.3515686417825,1150.4081403203047,1133.0533527743255,2.5978098489747525,7.06588115005014,0.8545475590836132
2020-01-11,9836.2,400.0,1900.0,338.68,1104.7831072975334,2020,1,5,1089.621561750046,1200.0426462162281,1140.1507396126374,1153.5726382699472,1142.3684195621183,-0.8283649653631486,7.008309057333478,-0.7443751269975575
2020-01-12,2923.0,800.0,1700.0,231.73333333333332,1222.0670543961683,2020,1,6,1108.8645363546364,1175.8341181892872,1142.3166746908496,1150.397320305991,1132.972091495972,-5.5993975898644415,7.109116961981541,1.7678818863977628
2020-01-13,11983.0,400.0,2000.0,277.3188405797101,1141.418259200534,2020,1,0,1080.128205128205,1218.3213285919649,1158.4884629824971,1151.9384181795535,1155.2458322210211,10.616015607400907,7.0409025746513345,-0.33455728796784906
2020-01-14,10615.4,500.0,1800.0,270.1803278688525,1207.9265312658968,2020,1,1,1201.8293637105526,1303.502253142541,1167.2441849928298,1149.3749825331724,1151.7889389658994,-6.599375615725389,7.097488080584624,1.036981750215964
2020-01-15,9810.8,400.0,2000.0,296.8888888888889,1213.1493761976599,2020,1,2,1150.2088261253311,1385.7033520400423,1168.1152089293075,1146.1891251372842,1165.8233370408989,5.826809894555751,7.101799008693944,1.1207136068991483
2020-01-16,10426.4,500.0,2000.0,243.2941176470588,1203.0921506943912,2020,1,3,1180.089064294192,1343.7392702093753,1177.1067160824973,1140.437325942538,1177.6548468300891,0.4323810096537706,7.093481160061538,0.6116399548071507
2020-01-17,8216.5,500.0,2000.0,249.8709677419355,1166.202762733524,2020,1,4,1170.313619925497,1359.7589129392347,1180.392871282526,1135.749088625372,1184.0141727961648,-0.8290179017188093,7.062365364181035,-0.32525062351374695
2020-01-18,12424.1,300.0,2200.0,291.85,1115.6465739973116,2020,1,5,1104.7831072975334,1275.4072241565368,1179.8056059693868,1129.2972169518482,1179.5613202805046,-3.066214665233724,7.018085342553875,-1.4643571372631459
2020-01-19,2731.8,500.0,1700.0,236.14285714285714,1165.552016985138,2020,1,6,1222.0670543961683,1223.310749817083,1181.3575297836408,1123.971861946541,1163.5826337097064,-4.335111384722756,7.061807682824873,-0.3873668568458648
2020-01-20,15346.3,500.0,2000.0,257.6986301369863,1152.1951871135063,2020,1,0,1141.418259200534,1123.4327009058745,1173.2839530106364,1122.0465708521428,1164.0749795285642,4.47323051502031,7.05029179225008,-0.5730690571387083
2020-01-21,12306.7,500.0,1800.0,259.09090909090907,1096.1927242883958,2020,1,1,1207.9265312658968,1204.2666843983422,1174.823514141061,1123.0053203923972,1161.1050314247998,-1.1459660038323216,7.000510127878862,-2.2183978091791423
2020-01-22,14151.2,200.0,1800.0,256.2835820895522,1082.5098507547063,2020,1,2,1213.1493761976599,1151.8879953565443,1158.8615417157039,1119.402855055399,1144.8769546406988,-4.860501367429649,6.987960912540721,-1.796176767213102
2020-01-23,13583.9,260.0,1800.0,256.89473684210526,878.556416051355,2020,1,3,1203.0921506943912,1107.0194826306972,1140.1987523667106,1117.0902502353376,1129.2851786692008,-1.2482178754262163,6.779417707716,-6.032769063772275
