date,arrivals,min_price,max_price,price_range,modal_price,year,month,day_of_week,lagged_price_7,lagged_price_30,rolling_mean_7,rolling_mean_30,exp_smooth,price_change,log_modal,z_score_7_rolling
2020-01-01,791.6,1550.0,9500.0,1442.5925925925926,5656.581606872158,2020,1,2,6353.236327145008,3945.4355400696863,5683.044349764582,6006.633955320557,5808.227956568695,14.3828632844893,8.640751801950218,-0.02105889564583245
2020-01-02,1767.5,1500.0,9000.0,1574.6129032258063,4553.21414427157,2020,1,3,6671.66718218373,5996.675900277009,5583.522246868461,6063.672157547307,5770.316369144561,-13.910252286421477,8.423808268853996,-0.8432802357003889
2020-01-03,2715.4,1500.0,9000.0,1515.1346153846155,4858.207335935774,2020,1,4,6441.196013289036,6252.505657937278,5280.886098595295,6015.556765680459,5466.040812926313,-19.50590549706047,8.48863060399066,-0.3617150781060078
2020-01-04,2646.9,1500.0,9500.0,1509.4583333333333,5247.393441384261,2020,1,5,4713.330711757766,6302.548947173994,5054.7448589733995,5969.080154947075,5314.082443678679,6.698415273261804,8.565677297589795,0.18275405396425487
2020-01-05,356.4,2800.0,8500.0,1063.090909090909,5280.594837261504,2020,1,6,3286.9565217391305,7308.333333333333,5131.039534634328,5933.9083047540835,5297.4101931050745,8.010899464288169,8.57198338360328,0.1431704587529397
2020-01-06,2600.0,1500.0,9000.0,1355.0,4952.517307692307,2020,1,0,5744.360115153101,6569.69696969697,5415.845008280382,5866.317021551689,5293.206354144182,0.6327216788319268,8.50785317043995,-0.7037084211977565
2020-01-07,4107.7,1500.0,8000.0,1338.3035714285713,3996.3370255860946,2020,1,1,6570.563577084304,3343.283582089552,5302.724607214554,5812.4110328182005,5208.034092531214,-6.212889639897767,8.293383674792874,-1.9776399317389053
2020-01-08,3431.4,1500.0,8000.0,1300.241935483871,4188.777350352626,2020,1,2,5656.581606872158,7206.459054209919,4934.977957000524,5834.179480934751,4905.109825794934,-19.30695488173383,8.34040287316363,-1.3735725718684157
2020-01-09,3411.0,1400.0,8000.0,1278.4912280701753,3857.426267956611,2020,1,3,4553.21414427157,6603.214774281806,4725.291634640591,5733.590090806176,4726.026706934357,4.815417807218303,8.25801467672366,-1.736261476422473
2020-01-10,3627.8,1500.0,8000.0,1325.7843137254902,3364.96000330779,2020,1,4,4858.207335935774,5059.377262853005,4625.893366595597,5642.063807262003,4508.876597189921,-7.91044867467402,8.121468492121565,-2.1047235436249148
2020-01-11,4195.9,1200.0,7500.0,1289.904761904762,2770.640982864225,2020,1,5,5247.393441384261,6044.934527911785,4412.572319077313,5585.58323194383,4222.897448719388,-12.766705840619853,7.927194836360683,-2.1905582324930593
2020-01-12,1138.1,2000.0,8000.0,1065.576923076923,4001.537870134435,2020,1,6,5280.594837261504,2140.3846153846152,4058.7505392887365,5476.440113775577,3859.8333322555973,-17.66199360049877,8.294683906446204,-0.06611032298721495
2020-01-13,4000.1,1000.0,8000.0,1118.15,3164.780605484863,2020,1,0,4952.517307692307,7197.21577726218,3876.0281154134414,5538.47855560057,3895.2594667253065,44.426430377772604,8.060154940972485,-1.0467286975422918
2020-01-14,3658.1,1000.0,8000.0,1058.96,3053.7588365544952,2020,1,1,3996.3370255860946,3430.769230769231,3620.637157955235,5404.064049874661,3712.6397514151954,-20.910892057144526,8.024455927918364,-1.0774877694741394
2020-01-15,3062.5,1200.0,7500.0,970.0,3221.513142857143,2020,1,2,4188.777350352626,6287.040161997975,3485.983130950721,5391.497036734169,3547.91952270002,-3.5080399803372297,8.077916813271168,-0.49481403963343995
2020-01-16,2965.5,1000.0,7000.0,995.6851851851852,3146.142977575451,2020,1,3,3857.426267956611,7733.014354066986,3347.802529879937,5289.312802762808,3466.317927739301,5.49337112985393,8.054250329008354,-0.459345712901889
2020-01-17,4073.1,1000.0,6500.0,882.5283018867924,3317.4137634725394,2020,1,4,3364.96000330779,6000.0,3246.1906312540573,5136.41709021309,3386.2741901983386,-2.3395889428173056,8.107242165649721,0.18757232584844793
2020-01-18,2359.8,1000.0,6500.0,885.78,3374.6116620052544,2020,1,5,2770.640982864225,5192.265193370165,3239.398311277593,5046.997548995509,3369.0590835168887,5.443833516716934,8.124331820072623,0.35803760848757976
2020-01-19,730.6,1500.0,7000.0,913.7931034482758,3471.297563646318,2020,1,6,4001.537870134435,8774.791318864774,3325.6798368691684,4986.4090979500115,3370.4472281389803,1.7241713759830413,8.152571775923063,0.4596568504112165
2020-01-20,2537.9,1000.0,7500.0,954.6190476190476,3276.0362898459357,2020,1,0,3164.780605484863,6974.508375819373,3249.931221656581,4809.625972776063,3395.6598120158146,2.8650971230156586,8.094694722743672,0.17984545459387963
2020-01-21,3366.3,1000.0,6000.0,904.8909090909091,3208.7944924694766,2020,1,1,3053.7588365544952,7404.395604395604,3265.824890851019,4686.343569910281,3365.753931473345,-5.625022638372612,8.073962193037081,-0.4065336428483474
2020-01-22,2937.7,1500.0,6000.0,970.1071428571429,3225.349763420363,2020,1,2,3221.513142857143,7176.00422832981,3287.9728416960165,4546.490199512743,3326.514071722378,-2.05253518054348,8.079106672963217,-0.5680295407497953
2020-01-23,2755.4,1500.0,7000.0,903.8846153846154,3281.5173840458733,2020,1,3,3146.142977575451,7474.853801169591,3288.520930347906,4414.801717349095,3301.222994646874,0.5159342859051508,8.096365902140345,-0.06374417628293401
2020-01-24,3771.8,1600.0,10000.0,870.4754098360655,3008.156158863142,2020,1,4,3317.4137634725394,6353.236327145008,3307.8601312722517,4275.023836778305,3296.296591996624,1.7414427812612265,8.009414972546022,-3.2967199288061244
2020-01-25,3228.5,1500.0,6500.0,887.5,3026.901657116308,2020,1,5,3374.6116620052544,6671.66718218373,3263.680473470909,4163.521164502242,3224.2614837132533,-8.330329941622816,8.015625136195151,-1.6361654126417295
2020-01-26,796.4,1700.0,5500.0,842.15,3766.288297338021,2020,1,6,3471.297563646318,6441.196013289036,3214.0076156296313,4042.0289803333285,3174.921527064017,0.6231557559914114,8.234110737107105,3.468248178382701
2020-01-27,6037.2,1500.0,6500.0,889.3220338983051,2924.6682568077917,2020,1,0,3276.0362898459357,4713.330711757766,3256.14914901416,3952.865389801628,3322.7632196325185,24.427177489674957,7.981278197437974,-1.319731838638784
2020-01-28,5268.7,1000.0,6000.0,911.6071428571429,2664.1118302427544,2020,1,1,3208.7944924694766,3286.9565217391305,3205.9537157229965,3893.243307969962,3223.239478926337,-22.34613959651147,7.888001298287179,-1.9352030513303584
2020-01-29,4457.6,1500.0,5000.0,803.3928571428571,2913.053391959799,2020,1,2,3225.349763420363,5744.360115153101,3128.1419068334653,3872.4818182534163,3083.4575667554413,-8.908922437905098,7.977300309154144,-0.6202286997738713
2020-01-30,3757.2,1300.0,6000.0,774.74,2980.902001490472,2020,1,3,3281.5173840458733,6570.563577084304,3083.5281394819553,3778.1049274803063,3040.8565230565305,9.344260961236017,8.00031663143473,-0.29134921848663153
2020-01-31,3462.8,1400.0,6000.0,845.3488372093024,2770.630905625505,2020,1,4,3008.156158863142,5656.581606872158,3040.5830848311844,3658.449541627178,3025.8678926650155,2.329123445452086,7.927191200515672,-0.7887186345527865
2020-02-01,3994.0,1500.0,5000.0,520.7142857142857,2451.329494241362,2020,2,5,3026.901657116308,4553.21414427157,3006.6509057972357,3562.251184918957,2962.058645905138,-7.053941919587759,7.804793665777553,-1.5535444751710459
2020-02-02,1051.9,1800.0,4700.0,586.304347826087,3214.588934309345,2020,2,6,3766.288297338021,4858.207335935774,2924.4263111008154,3492.188363251283,2834.376357989194,-11.524501900842555,8.07576580319566,0.7012470326896183
2020-02-03,4229.5,1400.0,4800.0,618.9074074074074,2698.6948811916304,2020,2,0,2924.6682568077917,5247.393441384261,2845.6121163824328,3437.401083197069,2929.4295020692316,31.136550262256613,7.9008940386405895,-0.6003971759501177
2020-02-04,8154.5,1200.0,4100.0,644.9795918367347,2187.3732295051814,2020,2,1,2664.1118302427544,5280.594837261504,2813.330205580124,3352.444464523981,2871.745846849831,-16.04852326876296,7.6909137292073275,-2.529906628812489
2020-02-05,5427.3,1200.0,4500.0,631.1428571428571,2248.860206732629,2020,2,2,2913.053391959799,4952.517307692307,2745.224691189042,3249.3370775987705,2700.6526925136686,-18.94699750053518,7.718623362927243,-1.4486645170418626
2020-02-06,2746.7,1300.0,6000.0,664.5833333333334,2272.8292132377037,2020,2,3,2980.902001490472,3996.3370255860946,2650.3399504423037,3159.2151742334477,2587.7045710684088,2.8109961481679546,7.729220567372921,-0.9973793227786893
2020-02-07,3641.6,1300.0,5000.0,562.0869565217391,2413.2573594024607,2020,2,4,2770.630905625505,4188.777350352626,2549.186694977622,3101.7649138218344,2508.9857316107327,1.0658291001510944,7.789147007160683,-0.3674202316853823
2020-02-08,4103.3,1100.0,5000.0,528.8775510204082,2262.7281700095045,2020,2,5,2451.329494241362,3857.426267956611,2498.133331231473,3042.580914123496,2485.0536385586647,6.17856129914458,7.724768365864326,-0.6561010937402143
2020-02-09,1067.1,1000.0,4100.0,495.18518518518516,2449.7282354043673,2020,2,6,3214.588934309345,3364.96000330779,2471.190284912637,2989.424310858593,2429.472271421375,-6.237593715666867,7.804140498312589,-0.058035841428135226
