date,arrivals,min_price,max_price,price_range,modal_price,year,month,day_of_week,lagged_price_7,lagged_price_30,rolling_mean_7,rolling_mean_30,exp_smooth,price_change,log_modal,z_score_7_rolling
2020-01-01,1338.9,400.0,2500.0,364.64285714285717,1266.8160430203898,2020,1,2,1175.5304846519061,1221.6387149247662,1145.1193084749032,1216.9983687120086,1145.2228297649153,-6.7214285517784855,7.145051047990218,0.8353208981423319
2020-01-02,1848.4,400.0,3000.0,412.1212121212121,1240.0454447089373,2020,1,3,1170.703699492078,1317.4946718686308,1158.1601025275438,1218.5042796485293,1175.621133078784,20.397111199670228,7.123709403961157,0.5359776711226782
2020-01-03,2430.8,400.0,3500.0,413.50877192982455,1370.027233832483,2020,1,4,1027.1282353374322,1409.891703924491,1168.066066129952,1215.9226387432063,1191.7272109863225,-2.1132190785668414,7.223315543575442,1.2951072244567106
2020-01-04,2317.2,400.0,3500.0,426.1296296296296,1473.0027619540826,2020,1,5,1021.2151586832249,1311.066980314473,1217.051637343531,1214.5938230734728,1236.3022166978626,10.482018193619913,7.2957369465291295,1.6185906943981405
2020-01-05,308.5,1000.0,3167.0,405.9642857142857,1870.3922204213939,2020,1,6,1441.0426540284361,1306.8895590682198,1281.592723525082,1219.9916824614595,1295.4773530119176,7.516312492090993,7.534437935742969,3.748532202606601
2020-01-06,3167.4,500.0,3500.0,421.4769230769231,1467.827871440298,2020,1,0,1128.0168881604732,1145.2005713243786,1342.9283758669333,1238.7751045065656,1439.2060698642867,26.9781882784887,7.292219995339988,0.45967790737539027
2020-01-07,2554.4,400.0,4000.0,470.70175438596493,1523.7416614469153,2020,1,1,1052.198038970772,1510.4586215731488,1391.4728020497653,1249.529347843763,1446.3615202582894,-21.522990984767855,7.329580272361425,0.5149352486319797
2020-01-08,3221.6,400.0,3500.0,441.45588235294116,1473.226409237646,2020,1,2,1266.8160430203898,1089.6834815088614,1458.8361766892142,1249.972115839555,1465.706555555446,3.8092879345418273,7.2958886628788475,0.06828010654429577
2020-01-09,2743.0,400.0,6167.0,476.26666666666665,1350.196500182282,2020,1,3,1240.0454447089373,1098.61144624564,1488.323371863108,1262.7568800971812,1467.5865189759961,-3.315211068082291,7.208745775335027,-0.7152742635314033
2020-01-10,2677.6,400.0,3500.0,441.35087719298247,1352.753958769047,2020,1,4,1370.027233832483,1227.1804240259528,1504.0592369307287,1271.143048561736,1438.2390142775675,-8.351052376194412,7.210636722609389,-0.8748906899159091
2020-01-11,2554.9,400.0,3500.0,465.78723404255317,1307.1979333829113,2020,1,5,1473.0027619540826,1164.0313343817693,1501.5916262073806,1275.3288330531725,1416.8677504004374,0.1894138065399842,7.176405845784932,-1.1090434168884529
